Time (BST),Column_Bolt_Bottom_(ColB),Column_Bolt_Top_(ColBt),Column_Front_Bottom_(ColFb),Column_Front_Middle_(ColFm),Column_Front_Top_(ColFt),Column_Rear_Bottom_(ColRb),Column_Rear_Middle_(ColRm),Column_Rear_Top_(ColRt),Column_Top_(ColTp),Enclosure,HstB1,HstB2,HstB3,HstB4,HstB5,HstB6,HstT1,HstT2,HstT3,HstT4,HstT5,HstT6,Spindle_Front_Bottom_(HstFB),Spindle_Front_Top_(HstFT),Spindle_Motor_Bolt_(Smot),X_Axis_Bearing_Cap_(Xbcp),X_Ballnut_(Xblnt),Y_Axis_Motor_Bolt_(Ymot),Y_Ballnut_(Yblnt),Z_Axis_Bearing_Cap_(Zbcp),Z_Axis_Motor_(Zmot),Z_Ballnut_(Zblnt)
24-06-27T00:00:03.713987,26.5,29.0,27.187,27.812,28.375,26.812,27.312,27.812,29.937,44.75,28.062,28.187,28.25,28.437,28.437,28.312,28.25,28.562,28.687,28.625,28.75,28.687,28.25,29.0,30.812,29.187,27.75,25.437,27.312,32.25,45.75,28.75
24-06-27T00:00:07.747897,26.5,28.937,27.187,27.75,28.375,26.812,27.375,27.812,29.937,44.75,28.062,28.187,28.25,28.437,28.437,28.25,28.25,28.5,28.687,28.562,28.75,28.75,28.25,29.062,30.812,29.187,27.812,25.437,27.312,32.25,45.75,28.75
24-06-27T00:00:12.784789,26.5,29.0,27.187,27.75,28.375,26.875,27.312,27.812,29.937,44.75,28.062,28.187,28.312,28.375,28.437,28.312,28.25,28.5,28.687,28.562,28.75,28.75,28.25,29.062,30.812,29.187,27.75,25.375,27.25,32.25,45.687,28.75
24-06-27T00:00:17.747367,26.5,29.0,27.187,27.812,28.375,26.812,27.312,27.812,29.937,44.75,28.062,28.187,28.25,28.375,28.437,28.25,28.25,28.562,28.687,28.625,28.75,28.75,28.312,29.062,30.812,29.187,27.75,25.437,27.25,32.25,45.687,28.75
24-06-27T00:00:22.784471,26.5,29.0,27.125,27.75,28.375,26.812,27.312,27.812,29.937,44.75,28.062,28.187,28.25,28.375,28.437,28.25,28.25,28.562,28.687,28.625,28.687,28.75,28.312,29.0,30.812,29.25,27.75,25.437,27.25,32.25,45.687,28.75
24-06-27T00:00:27.734332,26.5,28.937,27.187,27.75,28.375,26.812,27.375,27.812,29.937,44.75,28.062,28.187,28.312,28.375,28.437,28.25,28.25,28.562,28.687,28.625,28.75,28.687,28.25,29.062,30.812,29.187,27.812,25.437,27.312,32.25,45.687,28.75
24-06-27T00:00:32.786032,26.5,29.0,27.187,27.75,28.375,26.812,27.375,27.812,29.937,44.75,28.062,28.187,28.312,28.375,28.437,28.312,28.25,28.5,28.687,28.625,28.75,28.687,28.25,29.062,30.875,29.187,27.812,25.437,27.312,32.25,45.687,28.812
24-06-27T00:00:38.464733,26.5,29.0,27.187,27.75,28.375,26.812,27.375,27.812,29.937,44.75,28.062,28.187,28.25,28.375,28.437,28.25,28.25,28.562,28.687,28.625,28.75,28.75,28.25,29.0,30.875,29.187,27.75,25.437,27.312,32.25,45.687,28.75
24-06-27T00:00:42.786477,26.5,28.937,27.187,27.75,28.375,26.812,27.375,27.812,29.937,44.75,28.062,28.187,28.25,28.437,28.437,28.25,28.25,28.562,28.687,28.625,28.75,28.687,28.25,29.062,30.875,29.187,27.812,25.437,27.312,32.25,45.687,28.75
24-06-27T00:00:47.747087,26.5,29.0,27.187,27.812,28.375,26.812,27.312,27.812,29.937,44.75,28.062,28.187,28.25,28.437,28.437,28.25,28.25,28.562,28.687,28.562,28.75,28.687,28.25,29.062,30.875,29.187,27.75,25.437,27.312,32.25,45.687,28.75
24-06-27T00:00:52.862642,26.5,29.0,27.187,27.75,28.375,26.812,27.312,27.812,29.937,44.75,28.062,28.187,28.25,28.375,28.437,28.25,28.25,28.562,28.687,28.562,28.75,28.75,28.25,29.0,30.875,29.187,27.812,25.437,27.312,32.25,45.625,28.75
24-06-27T00:00:57.746127,26.5,29.0,27.187,27.812,28.375,26.812,27.312,27.812,29.937,44.812,28.062,28.187,28.312,28.375,28.437,28.25,28.25,28.562,28.687,28.625,28.75,28.75,28.312,29.062,30.875,29.25,27.812,25.437,27.312,32.25,45.625,28.75
24-06-27T00:01:02.786984,26.5,29.0,27.187,27.812,28.375,26.812,27.312,27.812,29.937,44.75,28.062,28.187,28.25,28.437,28.437,28.312,28.25,28.562,28.687,28.625,28.75,28.75,28.25,29.0,30.875,29.25,27.75,25.437,27.312,32.25,45.625,28.75
