Time (BST),Column_Bolt_Bottom_(ColB),Column_Bolt_Top_(ColBt),Column_Front_Bottom_(ColFb),Column_Front_Middle_(ColFm),Column_Front_Top_(ColFt),Column_Rear_Bottom_(ColRb),Column_Rear_Middle_(ColRm),Column_Rear_Top_(ColRt),Column_Top_(ColTp),Enclosure,HstB1,HstB2,HstB3,HstB4,HstB5,HstB6,HstT1,HstT2,HstT3,HstT4,HstT5,HstT6,Spindle_Front_Bottom_(HstFB),Spindle_Front_Top_(HstFT),Spindle_Motor_Bolt_(Smot),X_Axis_Bearing_Cap_(Xbcp),X_Ballnut_(Xblnt),Y_Axis_Motor_Bolt_(Ymot),Y_Ballnut_(Yblnt),Z_Axis_Bearing_Cap_(Zbcp),Z_Axis_Motor_(Zmot),Z_Ballnut_(Zblnt)
24-06-26T00:00:02.363391,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.312,29.312,44.187,27.25,27.312,27.375,27.5,27.5,27.375,27.5,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.75
24-06-26T00:00:07.324758,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.312,29.312,44.187,27.25,27.312,27.437,27.5,27.5,27.375,27.5,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:12.798964,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.312,29.312,44.125,27.25,27.375,27.437,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:17.336544,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.25,29.312,44.125,27.25,27.312,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:22.382636,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.25,29.312,44.125,27.25,27.312,27.437,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.687,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:27.189677,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.312,29.312,44.125,27.25,27.312,27.437,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:32.370712,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.25,29.312,44.187,27.25,27.375,27.437,27.5,27.5,27.375,27.5,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:37.341874,25.875,28.5,26.562,27.187,27.812,26.312,26.812,27.312,29.312,44.125,27.25,27.312,27.437,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.75
24-06-26T00:00:42.221745,25.875,28.437,26.562,27.187,27.812,26.375,26.812,27.25,29.312,44.125,27.25,27.312,27.437,27.5,27.5,27.375,27.5,27.687,27.75,27.625,27.687,27.625,27.062,27.687,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:48.631519,25.875,28.437,26.562,27.125,27.812,26.312,26.812,27.312,29.312,44.125,27.25,27.312,27.375,27.5,27.437,27.375,27.437,27.625,27.75,27.625,27.75,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:52.384326,25.875,28.5,26.562,27.187,27.812,26.312,26.812,27.25,29.312,44.125,27.25,27.375,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:00:57.240555,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.312,29.312,44.125,27.25,27.312,27.437,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:01:02.385456,25.875,28.437,26.562,27.125,27.812,26.312,26.812,27.25,29.312,44.125,27.25,27.375,27.437,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:01:07.348393,25.875,28.437,26.562,27.125,27.812,26.312,26.812,27.312,29.312,44.125,27.25,27.312,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.687,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:01:12.208871,25.875,28.437,26.562,27.125,27.812,26.375,26.812,27.312,29.312,44.125,27.25,27.375,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.75,27.625,27.125,27.687,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:01:17.334784,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.312,29.312,44.125,27.312,27.375,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:01:23.131965,25.875,28.437,26.562,27.125,27.812,26.312,26.812,27.25,29.312,44.187,27.25,27.375,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:01:27.185483,25.875,28.437,26.562,27.187,27.812,26.375,26.812,27.25,29.312,44.187,27.25,27.312,27.437,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.75
24-06-26T00:01:32.373751,25.875,28.437,26.562,27.125,27.812,26.312,26.812,27.312,29.312,44.187,27.25,27.375,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.125,27.687,28.375,27.437,26.687,24.75,26.062,31.5,44.187,27.812
24-06-26T00:01:37.427959,25.875,28.437,26.562,27.125,27.812,26.312,26.812,27.25,29.312,44.187,27.25,27.312,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.125,31.5,44.125,27.812
24-06-26T00:01:42.251130,25.875,28.437,26.562,27.125,27.812,26.312,26.812,27.312,29.312,44.187,27.25,27.375,27.375,27.5,27.5,27.375,27.5,27.687,27.75,27.625,27.687,27.625,27.125,27.687,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:01:47.391246,25.875,28.5,26.562,27.187,27.812,26.312,26.812,27.25,29.25,44.187,27.25,27.312,27.437,27.5,27.5,27.375,27.5,27.687,27.75,27.625,27.687,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.75
24-06-26T00:01:52.376707,25.875,28.437,26.562,27.187,27.75,26.312,26.812,27.25,29.312,44.125,27.25,27.312,27.375,27.5,27.5,27.375,27.5,27.687,27.75,27.625,27.687,27.625,27.062,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:01:57.601327,25.875,28.437,26.562,27.125,27.75,26.312,26.812,27.25,29.312,44.125,27.25,27.375,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:02:02.396000,25.875,28.5,26.562,27.125,27.812,26.312,26.812,27.312,29.312,44.125,27.25,27.312,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.812
24-06-26T00:02:07.331494,25.875,28.437,26.562,27.187,27.812,26.312,26.812,27.25,29.312,44.125,27.25,27.312,27.375,27.5,27.5,27.375,27.437,27.687,27.75,27.625,27.687,27.625,27.125,27.625,28.375,27.437,26.687,24.75,26.062,31.5,44.125,27.75
